Time,Event,Type,Presenter,Location
25 Aug 2014 09:00,Introduction,,,
25 Aug 2014 09:15,Keynote,Keynote,Stefan Decker,
25 Aug 2014 10:15,Coffee break,Coffee break,,
25 Aug 2014 10:30,Publishing Web Data 1,Tutorial,,
25 Aug 2014 12:00,Lunch break,,,
25 Aug 2014 13:30,Publishing Web Data 2,Tutorial,,
25 Aug 2014 15:00,Hackathon presentation,Hackathon,,
25 Aug 2014 16:00,Coffee break,Coffee break,,
25 Aug 2014 16:30,Poster session,,,
25 Aug 2014 18:00,Welcome dinner,Dinner,,
26 Aug 2014 09:00,Keynote,Keynote,Sören Auer,
26 Aug 2014 10:00,Coffee break,Coffee break,,
26 Aug 2014 10:15,Querying the Web of Data with SPARQL and XSPARQL,Tutorial,Axel Polleres,
26 Aug 2014 12:00,Lunch break,,,
26 Aug 2014 13:30, Provenance on the Web through the lens of PROV,Tutorial,Paul Groth,
26 Aug 2014 15:00,Coffee break,Coffee break,,
26 Aug 2014 15:30,“Understanding” Web Data – Named Entity Resolution,Tutorial,Harald Sack,
26 Aug 2014 18:00,Hackathon dinner,Dinner;Hackathon,,Maison des Élèves
27 Aug 2014 09:00,Wikidata,Keynote,Markus Krötzsch,
27 Aug 2014 10:00,Coffee break,Coffee break,,
27 Aug 2014 10:15,Working with Wikidata: A Hands-on Guide for Researchers and Developers,Tutorial,Markus Krötzsch,
27 Aug 2014 12:00,Lunch break,,,
27 Aug 2014 13:30,Hiking and archery,Outdoor event,,Château d'Essalois
27 Aug 2014 18:00,Social dinner,Dinner,,Domaine d'Essalois
28 Aug 2014 09:00,"Usability, Visual Interference & the Web of Data",Tutorial,Aba-Sah Dadzie,
28 Aug 2014 10:30,Coffee break,Coffee break,,
28 Aug 2014 10:45,Privacy in the Web of Data,Tutorial,Mathieu d'Aquin,
28 Aug 2014 12:00,Lunch break,,,
28 Aug 2014 13:30,Hackathon,Hackathon,,
28 Aug 2014 18:00,Hackathon until late in the night,Dinner;Hackathon,,
29 Aug 2014 09:00,W3C Data Trajectory,Keynote,Eric Prud'hommeaux,
29 Aug 2014 10:00,Coffee break,Coffee break,,
29 Aug 2014 10:15,Presentation of hackathon results,Hackathon,,
29 Aug 2014 11:45,Conclusion,,,
