Name,Affiliation,Town,Country
Sören Auer,Universität Bonn;Fraunhofer IAIS,Bonn,Germany
Mathieu d'Aquin,,Milton Keynes,UK
Aba-Sah Dadzie,University of Birmingham,Birmingham,UK
Jérôme David,Université Pierre-Mendès-France;INRIA-LIG,Grenoble,France
Stefan Decker,INSIGHT;National University of Ireland,Galway,Ireland
Paul Groth,VU Amsterdam,Amsterdam,Netherlands
Markus Krötzsch,TU Dresden,Dresden,Germany
Christoph Lange,Universität Bonn;Fraunhofer IAIS,Bonn,Germany
Axel Polleres,WU Wien,Vienna,Austria
Eric Prud'hommeaux,W3C,,
Harald Sack,"HPI, Universität Potsdam",Potsdam,Germany
Thomas Steiner,Université Lyon;Google,Lyon,France
Antoine Zimmermann,École des mines de Saint-Étienne,Saint-Étienne,France
