Time,Event,Type,Presenter,Location
08/25/2014 09:00:00,Introduction,,,
08/25/2014 09:15:00,Keynote,Keynote,Stefan Decker,
08/25/2014 10:15:00,Coffee break,Coffee break,,
08/25/2014 10:30:00,Publishing Web Data 1,Tutorial,,
08/25/2014 12:00:00,Lunch break,,,
08/25/2014 13:30:00,Publishing Web Data 2,Tutorial,,
08/25/2014 15:00:00,Hackathon presentation,Hackathon,,
08/25/2014 16:00:00,Coffee break,Coffee break,,
08/25/2014 16:30:00,Poster session,,,
08/25/2014 18:00:00,Welcome dinner,Dinner,,
08/26/2014 09:00:00,Keynote,Keynote,Sören Auer,
08/26/2014 10:00:00,Coffee break,Coffee break,,
08/26/2014 10:15:00,Querying the Web of Data with SPARQL and XSPARQL,Tutorial,Axel Polleres,
08/26/2014 12:00:00,Lunch break,,,
08/26/2014 13:30:00, Provenance on the Web through the lens of PROV,Tutorial,Paul Groth,
08/26/2014 15:00:00,Coffee break,Coffee break,,
08/26/2014 15:30:00,“Understanding” Web Data – Named Entity Resolution,Tutorial,Harald Sack,
08/26/2014 18:00:00,Hackathon dinner,Dinner;Hackathon,,Maison des Élèves
08/27/2014 09:00:00,Wikidata,Keynote,Markus Krötzsch,
08/27/2014 10:00:00,Coffee break,Coffee break,,
08/27/2014 10:15:00,Working with Wikidata: A Hands-on Guide for Researchers and Developers,Tutorial,Markus Krötzsch,
08/27/2014 12:00:00,Lunch break,,,
08/27/2014 13:30:00,Hiking and archery,Outdoor event,,Château d'Essalois
08/27/2014 18:00:00,Social dinner,Dinner,,Domaine d'Essalois
08/28/2014 09:00:00,"Usability, Visual Interference & the Web of Data",Tutorial,Aba-Sah Dadzie,
08/28/2014 10:30:00,Coffee break,Coffee break,,
08/28/2014 10:45:00,Privacy in the Web of Data,Tutorial,Mathieu d'Aquin,
08/28/2014 12:00:00,Lunch break,,,
08/28/2014 13:30:00,Hackathon,Hackathon,,
08/28/2014 18:00:00,Hackathon until late in the night,Dinner;Hackathon,,
08/29/2014 09:00:00,W3C Data Trajectory,Keynote,Eric Prud'hommeaux,
08/29/2014 10:00:00,Coffee break,Coffee break,,
08/29/2014 10:15:00,Presentation of hackathon results,Hackathon,,
08/29/2014 11:45:00,Conclusion,,,
